"lang"
{
    "Language"    "russian"
		"DOTA_Tooltip_ability_furion_sprout_custom_Lore"									"Тех, кто пытается одолеть стража лесов, неизменно окружают густые заросли."
		"DOTA_Tooltip_ability_furion_sprout_custom_Note0"									"Можно применить как на существо, так и на землю."
		"DOTA_Tooltip_ability_furion_sprout_custom_Note1"									"Деревья, созданные этой способностью, взаимодействуют со способностями как обычные."
		"DOTA_Tooltip_ability_furion_sprout_custom_duration"								"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_furion_sprout_custom_abilitycastrange"						"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
		"DOTA_Tooltip_ability_furion_sprout_custom_vision_range"							"РАДИУС ОБЗОРА:"

		"DOTA_Tooltip_ability_furion_force_of_nature_custom"								"Nature's Call"
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_Description"					"Превращает деревья в выбранной области в подконтрольных энтов."
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_Lore"							"Веродиция наделила стража лесов способностью призывать энтов — мифических разумных воинов природы."
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_Note0"							"Энтов не может появиться больше, чем деревьев в зоне действия способности."
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_duration"						"ВРЕМЯ ЖИЗНИ ЭНТА:"
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_treant_count"					"ЧИСЛО ЭНТОВ:"
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_treant_hp"						"ЗДОРОВЬЕ ЭНТА:"
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_treant_damage"					"МАКСИМАЛЬНЫЙ УРОН ЭНТА:"
		"DOTA_Tooltip_ability_furion_force_of_nature_custom_treant_movespeed"				"СКОРОСТЬ ПЕРЕДВИЖЕНИЯ ЭНТА:"

		// Necrophos (necrolyte)
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom"    "Heartstopper Aura"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_Description"    "Герой останавливает сердца врагов вокруг, отчего они постепенно теряют часть максимального здоровья. Также на %regen_duration% сек. ускоряет восстановление здоровья и маны за каждое убитое существо."
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_scepter_description"    "Уменьшение здоровья от Heartstopper Aura увеличивается на %heal_regen_to_damage%%% от текущего восстановления здоровья Necrophos"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_Lore"    "Дерзнувших приблизиться к Ротунд`йеру окутывает дух мора и чумы."
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_Note0"    "Урон не запрещает использовать такие предметы, как Blink Dagger."
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_Note1"    "Не действует на древних крипов."
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_aura_radius"    "РАДИУС:"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_aura_damage"    "%УМЕНЬШЕНИЕ ЗДОРОВЬЯ:"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_health_regen"    "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ ЗА УБИЙСТВО:"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_mana_regen"    "ВОССТАНОВЛЕНИЕ МАНЫ ЗА УБИЙСТВО:"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_hero_multiplier"    "МНОЖИТЕЛЬ ВОССТАНОВЛЕНИЯ ПРИ УБИЙСТВЕ ГЕРОЯ:"
        "DOTA_Tooltip_ability_necrolyte_heartstopper_aura_custom_regen_duration"    "ДЛИТЕЛЬНОСТЬ ВОССТАНОВЛЕНИЯ:"
        "DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_custom"    "Heartstopper Aura"
        "DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_damage_effect_custom"    "Heartstopper Aura"
        "DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_damage_effect_custom_Description"    "Теряет процент от максимального здоровья ежесекундно, пока находится рядом с Necrophos."
        "DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_counter_custom"    "Heartstopper Regen"
        "DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_counter_custom_Description"    "Восстановление здоровья временно увеличено на %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%, а восстановление маны - на %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%."

		// Night Stalker
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom"									"Hunter in the Night"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_Description"						"Ночью герой оказывается в своей стихии: он атакует и передвигается увеличенной скоростью."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_description"				"Позволяет применить эту способность, чтобы мгновенно сожрать выбранного крипа и восстановить себе долю от максимального здоровья и маны. Днём нельзя применять на древних крипов."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_Lore"							"Охотничье мастерство Баланара возрастает с наступлением ночи."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_Note0"							"Можно применить на себя."
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_bonus_movement_speed_pct_night"	"%СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_bonus_attack_speed_night"		"СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_hp_restore_pct"			"%ВОССТАНОВЛЕНИЕ ОТ МАКС. ЗДОРОВЬЯ:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_mana_restore_pct"			"%ВОССТАНОВЛЕНИЕ ОТ МАКС. МАНЫ:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_cooldown"					"ПЕРЕЗАРЯДКА:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_cast_range"				"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
		"DOTA_Tooltip_ability_night_stalker_hunter_in_the_night_custom_shard_self_cast_pct"				"%ЭФФЕКТИВНОСТЬ ПРИМЕНЕНИЯ НА СЕБЯ:"

		// Nyx Assassin

		// Ogre Magi

		// Omniknight
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua"									"Degen Aura"
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua_Description"						"Значительно снижает скорость передвижения врагов, осмелившихся подойти слишком близко."
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua_Note0"								"Не проходит сквозь невосприимчивость к эффектам."
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua_Lore"								"Одного священного вида Громобоя достаточно, чтобы неверующие ослабли."
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua_radius"								"РАДИУС:"
		"DOTA_Tooltip_ability_omniknight_degen_aura_lua_speed_bonus"						"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"

		// Oracle

		// Outworld Destroyer (obsidian_destroyer)

		// Pangolier

		// Phantom Assassin

		// Phantom Lancer

		//Warlock
        "DOTA_Tooltip_ability_warlock_golem_permanent_immolation_lua"						"Permanent Immolation"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_lua_Description"			"Обжигает ближайших врагов голема, урон в секунду."
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_lua_aura_damage"			"УРОН:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_lua_aura_radius"			"РАДИУС АУРЫ:"

        //
		"DOTA_Tooltip_ability_witch_doctor_paralyzing_cask_bounce_range"    "РАДИУС ОТСКОКА:"
        "DOTA_Tooltip_ability_witch_doctor_death_ward_bounce_radius"    "РАДИУС ОТСКОКА:"

        "DOTA_Tooltip_ability_zuus_arc_lightning_radius"    "РАДИУС ОТСКОКА:"
        "DOTA_Tooltip_ability_zuus_static_field_hop_distance"    "ДИСТАНЦИЯ HEAVENLY JUMP:"
        "DOTA_Tooltip_ability_zuus_lightning_bolt_spread_aoe"    "РАДИУС ПОИСКА ГЕРОЕВ:"
        "DOTA_Tooltip_ability_zuus_cloud_cloud_radius"    "РАДИУС ОБЛАКА:"

		"DOTA_Tooltip_ability_undying_soul_rip_custom"                          "Soul Rip"
        "DOTA_Tooltip_ability_undying_soul_rip_custom_Description"              "Герой вырывает жизненные силы из всех существ рядом с целью, излечивая союзника или нанося урон противнику. Также этой способностью можно лечить надгробие от способности Tombstone."
        "DOTA_Tooltip_ability_undying_soul_rip_custom_Lore"                     "Если рядом глашатай смерти, даже союзники чувствуют отчаяние."
        "DOTA_Tooltip_ability_undying_soul_rip_custom_Note0"                    "Может лечить надгробие от способности Tombstone, но не действует на другие постройки."
        "DOTA_Tooltip_ability_undying_soul_rip_custom_Note1"                    "Невидимые существа не увеличивают урон/лечение."
        "DOTA_Tooltip_ability_undying_soul_rip_custom_damage_per_unit"          "УРОН/ЛЕЧЕНИЕ ЗА СУЩЕСТВО:"
        "DOTA_Tooltip_ability_undying_soul_rip_custom_max_units"                "МАКСИМУМ ЦЕЛЕЙ:"
        "DOTA_Tooltip_ability_undying_soul_rip_custom_radius"                   "РАДИУС ДЕЙСТВИЯ:"
        "DOTA_Tooltip_ability_undying_soul_rip_custom_tombstone_heal"           "ЛЕЧЕНИЕ НАДГРОБИЯ:"

        "DOTA_Tooltip_ability_undying_tombstone_custom"                                                "Tombstone"
        "DOTA_Tooltip_ability_undying_tombstone_custom_Description"                    "Поднимает в указанной точке надгробный камень, который периодически призывает зомби рядом с каждым врагом в области действия. Зомби замедляют цель своих атак, а если её здоровье падает ниже определённого уровня, то скорость атаки и передвижения зомби увеличивается."
        "DOTA_Tooltip_ability_undying_tombstone_custom_Lore"                                   "Панихида взывает к падшим братьям и направляет их в бой во имя Мёртвого бога."
        "DOTA_Tooltip_ability_undying_tombstone_custom_Note0"                                  "Надгробие невосприимчиво к магии, но на него действует способность Soul Rip."
        "DOTA_Tooltip_ability_undying_tombstone_custom_Note1"                                  "Зомби и надгробие невосприимчивы к магии."
        "DOTA_Tooltip_ability_undying_tombstone_custom_Note2"                                  "Если цель зомби погибла или вышла из зоны видимости, зомби умрёт."
        "DOTA_Tooltip_ability_undying_tombstone_custom_hits_to_destroy_tooltip"                "АТАК ДЛЯ УНИЧТОЖЕНИЯ:"
        "DOTA_Tooltip_ability_undying_tombstone_custom_duration"                               "ВРЕМЯ ДЕЙСТВИЯ НАДГРОБИЯ:"
        "DOTA_Tooltip_ability_undying_tombstone_custom_radius"                                 "РАДИУС ПОЯВЛЕНИЯ ЗОМБИ:"
        "DOTA_Tooltip_ability_undying_tombstone_custom_zombie_interval"                "ИНТЕРВАЛ ПОЯВЛЕНИЯ ЗОМБИ:"
        "DOTA_Tooltip_ability_undying_tombstone_custom_health_threshold_pct_tooltip"   "%ПОРОГ ЗДОРОВЬЯ ДЛЯ УСИЛЕНИЯ ЗОМБИ:"
        "DOTA_Tooltip_ability_undying_tombstone_custom_zombie_damage"                  "УРОН ЗОМБИ:"

        "DOTA_Tooltip_ability_weaver_geminate_attack_lua"    "Geminate Attack"
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_Description"    "Позволяет герою совершить несколько атак одновременно."
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_Lore"    "В какой-то мере Скитскурр существует вне понятия времени, отчего его действия видят — и чувствуют — совсем не единожды."
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_Note0"    "Дополнительные атаки наносятся с интервалом в %delay% сек. вне зависимости от расстояния до цели."
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_tooltip_attack"    "ЧИСЛО ДОП. АТАК:"
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_bonus_damage"    "ДОПОЛНИТЕЛЬНЫЙ УРОН:"
        "DOTA_Tooltip_ability_weaver_geminate_attack_lua_shard_description"         "Дополнительные атаки летят во всех врагов, к которым прицепились жуки от способности The Swarm, находящихся на расстоянии %shard_beetle_search_range% от изначальной цели атаки."

        "DOTA_Tooltip_ability_venomancer_plague_ward_custom"    "Plague Ward"
        "DOTA_Tooltip_ability_venomancer_plague_ward_custom_Description"    "Призывает чумной тотем, атакующий вражеских существ и сооружения. Тотем невосприимчив к магии. Он имеет текущий уровень способности Poison Sting, нанося 50% от её урона."
        "DOTA_Tooltip_ability_venomancer_plague_ward_custom_Lore"    "Сочетание давних талантов травника и новообретённых умений в приготовлении ядов становится живым воплощением чумы."
        "DOTA_Tooltip_ability_venomancer_plague_ward_custom_duration"    "ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_venomancer_plague_ward_custom_ward_hp_tooltip"    "ЗДОРОВЬЕ ТОТЕМА:"
        "DOTA_Tooltip_ability_venomancer_plague_ward_custom_ward_damage_tooltip"    "УРОН ТОТЕМА:"

        "DOTA_Tooltip_Ability_treant_generating_tree"    "Life Seed"
        "DOTA_Tooltip_treant_generating_tree_charges"    "Life Seed"
        "DOTA_Tooltip_Ability_treant_generating_tree_Description"    "<font color='#70EA72'>Посадить дерево в указанное место.<br><br>Если включено автоматическое применение и Treant Protector имеет максималькое количество зарядов Life Seed, он сам посадит дерево недалеко от себя</font>"
        "DOTA_Tooltip_Ability_treant_generating_tree_max_charges"    "МАКС. ЗАРЯДОВ:"
        "DOTA_Tooltip_Ability_treant_generating_tree_charge_cooldown"    "ВОССТАНОВЛЕНИЕ ЗАРЯДА:"
        "DOTA_Tooltip_Ability_treant_generating_tree_tree_duration"    "ВРЕМЯ ЖИЗНИ ДЕРЕВА:"


        "heros_i-l"    "Герои I-L"
        "heros_e-h"    "Герои E-H"
        "heros_t-v"    "Герои T-V"
        "heros_r-s"    "Герои R-S"
        "heros_v-w"    "Герои V-W"
        "heros_z-z"    "Герои Z-Z"
        "heros_n-o"    "Герои N-O"
        "heros_p-q"    "Герои P-Q"
        "DOTA_Tooltip_ability_high_five_custom"    "Дать Пять"
        "DOTA_Tooltip_ability_high_five_custom_Description"    "Поднимите свою руку (или рукоподобный отросток) в небо!"
        "TopMenuIcon_Collection_message"    "Открыть Коллекцию"
        "DOTA_Tooltip_ability_delayed_damage_perk"    "Преимущество Замедленной Реакции на Урон"
        "DOTA_Tooltip_modifier_generic_damage_shield_upgrade_handler"    "Поглощающий урон Щит"
        "DOTA_Tooltip_modifier_generic_damage_shield_upgrade_handler_Description"    "Поглощение урона: %dMODIFIER_PROPERTY_TOOLTIP%"
        "DOTA_Tooltip_modifier_generic_common_stat_boost_upgrade_handler"    "Усиление атрибутов от Обычных Улучшений"
        "DOTA_Tooltip_modifier_generic_common_stat_boost_upgrade_handler_Description"    "Усиление атрибутов от Обычных Улучшений: %dMODIFIER_PROPERTY_TOOLTIP%"
        "DOTA_Tooltip_modifier_generic_rare_stat_boost_upgrade_handler"    "Усиление атрибутов от Редких Улучшений"
        "DOTA_Tooltip_modifier_generic_rare_stat_boost_upgrade_handler_Description"    "Усиление атрибутов от Редких Улучшений: %dMODIFIER_PROPERTY_TOOLTIP%"
        "patreon_loadout_promo_header"    "Поддержите Нас"
        "patreon_loadout_promo_subscribe"    "ПОДПИШИТЕСЬ СЕЙЧАС"
        "patreon_loadout_promo_title"    "Преимущества Поддержавших:"
        "patreon_loadout_promo_help"    "Поддержите разработчиков и получите внутриигровые преимущества для OT3."
        "patreon_basic_supporter_perks_title"    "<font color='#70EA72'>БАЗОВАЯ ПОДДЕРЖКА</font>"
        "patreon_basic_supporter_perks"    "• Наша Благодарность и Признательность<br>
• Выбор героя перед другими игроками<br>
• Купленные предметы доставляются моментально<br>
• 4 Реролла улучшений (обычный/редкий/эпический реролл стоят 1/2/4)<br>
• 1 дополнительный выбор для каждого Обычного Улучшения<br>
• Иммунитет к кику из игры при помощи соответствующего предмета<br>
• Преимущества для 12v12 и Overthrow 2.0"
        "patreon_high_supporter_perks_title"    "<font color='#ea70e8'>ВЫСШАЯ ПОДДЕРЖКА</font>"
        "patreon_high_supporter_perks"    "• Наша Благодарность и Признательность<br>
• Выбор героя перед Поддержавшими Базово<br>
• Купленные предметы доставляются моментально<br>
• 8 Рероллов улучшений (обычный/редкий/эпический реролл стоят 1/2/4)<br>
• 1 дополнительный выбор для каждого Улучшения<br>
• Иммунитет к кику из игры при помощи соответствующего предмета<br>
• Доступ к Github и Discord Разработчиков<br>
• Преимущества для 12v12 и Overthrow 2.0"
		"reroll_tooltip" "Базовые Патроны получают 4 реролла на игру. Высшие Патроны получают 8 рероллов на игру. Обычный/редкий/эпический реролл стоят 1/2/4."
        "patreon_bonus_button_text"    "Free Boots"
        "patreon_bonus_button_tooltip"    "Support us to get this feature"
        "smart_random_button"    "СЛУЧ. ИЗ ЛУЧШИХ"
        "smart_random_tooltip_ready"    "Выбирает случайного героя из наиболее используемых вами"
        "smart_random_tooltip_cooldown"    "Вы не можете использовать эту функцию чаще чем раз в 24 часа. Поддержите нас чтобы снять это ограничение!"
        "smart_random_tooltip_no_stats"    "Вам необходимо сыграть хотя-бы 3 матча для доступа к этой функции"
        "player_stats_title"    "Ваша статистика на {s:map_name}"
        "player_stats_wins_loses"    "Побед/Порожений: "
        "player_stats_average_kda"    "Средний KDA: "
        "patreon_perks"    "Возм. для поддержавших"
        "emblem_supporter"    "Эмблема поддержавшего"
        "emblem_supporter_description"    "Внутриигровой эффект, который следует за вашим героем, доступный в нескольких цветах."
        "emblem_enable"    "Активировать эмблему"
        "color_choose"    "Цвет:"
        "boots_free"    "Бесплатные ботинки"
        "boots_free_description"    "Начинайте игру с бесплатными ботинками!"
        "boots_enable"    "Активировать ботинки"
        "random_unlimited"    "Неограниченный случайный выбор"
        "random_unlimited_description"    "Снимите ограничение с кнопки выбора случайного из лучших героев!"
        "patreon_support_patreon"    "Поддержать на Patreon"
        "patreon_support_payment"    "Поддержать через WeChat Pay или Alipay"
        "cosemtics_header_abilities"    "Abilities"
        "cosemtics_header_effects"    "Effects"
        "cosemtics_header_kill_effects"    "Kill effects"
        "cosemtics_header_pets"    "Pets"
        "cosmetics_save_settings"    "Save settings"
        "cosemtics_effects_header_hero"    "Hero"
        "cosemtics_effects_header_pet"    "Pet"
        "cosemtics_effects_header_courier"    "Courier"
        "cosemtics_effects_header_wards"    "Wards"
        "cosmetics_kill_effect_firework"    "Фейерверк"
        "cosmetics_kill_effect_tombstone"    "Надгробие"
        "cosmetics_kill_effect_incineration"    "Испепеление"
        "cosmetics_kill_effect_halloween"    "Хэллоуин"
        "new_stat_gpm"    "ЗВМ"
        "new_stat_total_damage"    "УРОН"
        "new_stat_total_healing"    "ЛЕЧЕНИЕ"
        "new_stat_tower_damage"    "УРОН ПО СТРОЕНИЯМ"
        "new_stat_networth"    "ОБЩАЯ СТОИМОСТЬ"
        "new_stat_wards"    "ВАРДЫ СЕНТРИ/ОБСЫ"
        "new_stat_killed_heroes"    "УБИТО ПРОТИВНИКОВ"
        "[english]addon_game_name"    "Overthrow 2.0"
        "DOTA_Tooltip_modifier_get_xp"    "Аура богатства"
        "[english]DOTA_Tooltip_modifier_get_xp"    "Golden Aura"
        "DOTA_Tooltip_modifier_get_xp_Description"    "Получает больше золота и опыта!"
        "[english]DOTA_Tooltip_modifier_get_xp_Description"    "Gaining more gold and experience!"
        "DOTA_Tooltip_modifier_get_xp_global"    "Глобальная аура"
        "[english]DOTA_Tooltip_modifier_get_xp_global"    "Global Aura"
        "DOTA_Tooltip_modifier_get_xp_global_Description"    "Получает золото и опыт"
        "[english]DOTA_Tooltip_modifier_get_xp_global_Description"    "Gaining gold and experience"
        "DOTA_Tooltip_modifier_get_xp_core_global"    "Глобальная аура"
        "[english]DOTA_Tooltip_modifier_get_xp_core_global"    "Global Aura"
        "DOTA_Tooltip_modifier_get_xp_core_global_Description"    "Получает золото и опыт"
        "[english]DOTA_Tooltip_modifier_get_xp_core_global_Description"    "Gaining gold and experience"
        "DOTA_Tooltip_modifier_fountain_aura_effect_lua"    "Аура фонтана"
        "[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua"    "Fountain Aura"
        "DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"    "Лечение"
        "[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"    "Healing"
        "DOTA_Tooltip_ability_item_bag_of_gold"    "300 золота"
        "[english]DOTA_Tooltip_ability_item_bag_of_gold"    "300 Gold"
        "DOTA_Tooltip_ability_item_treasure_chest"    "Сундук с сокровищами"
        "[english]DOTA_Tooltip_ability_item_treasure_chest"    "Treasure Chest"
        "PointsToWin"    "Еще {d:points_to_win}"
        "[english]PointsToWin"    "+{d:points_to_win} more"
        "PointsToWin_CloseToVictory"    "Еще {d:points_to_win}"
        "[english]PointsToWin_CloseToVictory"    "+{d:points_to_win} more"
        "PointsToWin_VeryCloseToVictory"    "Еще {d:points_to_win}!"
        "[english]PointsToWin_VeryCloseToVictory"    "+{d:points_to_win} more!"
        "PointsToWin_Victory"    "Победа!"
        "[english]PointsToWin_Victory"    "Victory!"
        "InstructionsTitle"    "OVERTHROW 2.0"
        "[english]InstructionsTitle"    "OVERTHROW 2.0"
        "InstructionsObjective"    "ЦЕЛЬ"
        "[english]InstructionsObjective"    "OBJECTIVE"
        "InstructionsObjectiveText"    "Уничтожайте врагов! Наберите необходимое число убийств первыми или совершите наибольшее число убийств к концу раунда, и победа будет за вами."
        "[english]InstructionsObjectiveText"    "Slay your enemies! Be the first to earn the goal number of kills, or the team with the most kills when the round ends, and you will be victorious."
        "InstructionsHowToPlay"    "ПРАВИЛА"
        "[english]InstructionsHowToPlay"    "HOW TO PLAY"
        "InstructionsLines"    "- Трон Мидаса дает дополнительные золото и опыт.<br>- Хватайте гигантские монеты в центре карты, чтобы получить еще больше золота.<br>- Следите за картой: на ней показано, где появятся сундуки с предметами.<br>- Чем меньше убийств у вашей команды, тем лучше предметы, которые вы получите из сундуков.<br>- Убивайте всех, кто не в вашей команде."
        "[english]InstructionsLines"    "-Approach the Midas Throne to earn bonus gold and experience.<br>-Snatch up any giant coins the Over Boss tosses to earn even more gold.<br>-Keep an eye out for item deliveries. An icon will appear on your map where an item will appear.<br>-The fewer kills your team has, the better the item you will receive from a delivery.<br>-Slay anyone who isn't on your team."
        "Chest"    "ПРЕДМЕТ"
        "[english]Chest"    "ITEM"
        "ItemWillSpawn"    "ВОТ-ВОТ БУДЕТ ДОСТАВЛЕН!"
        "[english]ItemWillSpawn"    "IS ABOUT TO BE DELIVERED!"
        "ItemHasSpawned"    "В ПУТИ!"
        "[english]ItemHasSpawned"    "IS ON ITS WAY!"
        "Unassigned"    "Неопределившиеся"
        "[english]Unassigned"    "Unassigned Team"
        "Spectator"    "Наблюдатели"
        "[english]Spectator"    "Spectator Team"
        "Neutrals"    "Нейтральная команда"
        "[english]Neutrals"    "Neutral Team"
        "NoTeam"    "Нет команды"
        "[english]NoTeam"    "No Team"
        "DOTA_GoodGuys"    "Бирюзовые тигры"
        "[english]DOTA_GoodGuys"    "Teal Tiger"
        "DOTA_BadGuys"    "Желтые обезьяны"
        "[english]DOTA_BadGuys"    "Yellow Monkey"
        "DOTA_Custom1"    "Розовые драконы"
        "[english]DOTA_Custom1"    "Pink Dragon"
        "DOTA_Custom2"    "Оранжевые псы"
        "[english]DOTA_Custom2"    "Orange Dog"
        "DOTA_Custom3"    "Синие петухи"
        "[english]DOTA_Custom3"    "Blue Rooster"
        "DOTA_Custom4"    "Зеленые бараны"
        "[english]DOTA_Custom4"    "Green Ram"
        "DOTA_Custom5"    "Коричневые крысы"
        "[english]DOTA_Custom5"    "Brown Rat"
        "DOTA_Custom6"    "Голубые кабаны"
        "[english]DOTA_Custom6"    "Cyan Boar"
        "DOTA_Custom7"    "Оливковые змеи"
        "[english]DOTA_Custom7"    "Olive Snake"
        "DOTA_Custom8"    "Фиолетовые кони"
        "[english]DOTA_Custom8"    "Purple Horse"
        "OverthrowTextPickup"    "ПОЛУЧИЛ"
        "[english]OverthrowTextPickup"    "HAS PICKED UP"
        "Remaining"    "ОСТАЛОСЬ"
        "[english]Remaining"    "REMAINING"
        "Overtime"    "ДОБАВОЧНОЕ ВРЕМЯ!"
        "[english]Overtime"    "OVERTIME!"
        "OvertimeInstructions"    "УБИВАЙТЕ, ЧТОБЫ ПОБЕДИТЬ"
        "[english]OvertimeInstructions"    "SCORE TO WIN"
        "KillMessageText"    "УБИВАЕТ ЛИДЕРА"
        "[english]KillMessageText"    "HAS KILLED THE LEADER"
        "KillMessageBounty"    "И ПОЛУЧАЕТ 500 ЗОЛОТА СВЕРХУ!"
        "[english]KillMessageBounty"    "FOR 500 BONUS GOLD!"
        "addonname"    "Overthrow 2.0"
        "[english]addonname"    "Overthrow 2.0"
        "overthrow_game_info_header_objective"    "Цель:"
        "[english]overthrow_game_info_header_objective"    "Objective:"
        "overthrow_brief_description"    "Уничтожайте врагов! Первый, кто наберет достаточно убийств, победит!"
        "[english]overthrow_brief_description"    "Slay your enemies! First team to hit the kill limit wins!"
        "overthrow_game_info_header_how_to_play"    "Правила:"
        "[english]overthrow_game_info_header_how_to_play"    "How To Play:"
        "overthrow_game_info_throne"    "<span class='midas_throne'>Трон Мидаса</span> дает дополнительные <span class='gold'>золото</span> и <span class='xp'>опыт</span>"
        "[english]overthrow_game_info_throne"    "Approach the <span class='midas_throne'>Midas Throne</span> to earn bonus <span class='gold'>gold</span> and <span class='xp'>experience</span>."
        "overthrow_game_info_coins"    "Хватайте гигантские монеты <span class='overboss'>в центре карты</span>, чтобы получить еще больше <span class='gold'>золота</span>."
        "[english]overthrow_game_info_coins"    "Snatch up coins the <span class='overboss'>Overboss</span> tosses to earn more <span class='gold'>gold</span>."
        "overthrow_game_info_items"    "Следите за <span class='treasure'>картой</span>: на ней показано, где появятся сундуки с <span class='items'>предметами</span>."
        "[english]overthrow_game_info_items"    "Keep an eye out for <span class='treasure'>treasure</span> deliveries. An icon will appear on your map where an <span class='items'>item</span> will appear."
        "overthrow_game_info_tips_header"    "Советы:"
        "[english]overthrow_game_info_tips_header"    "Tips:"
        "overthrow_game_info_tip01"    "Текущий лидер имеет золотую корону, и вы получите дополнительное золото за его убийство."
        "[english]overthrow_game_info_tip01"    "The current leader has a gold crown, and you will get extra gold for killing them."
        "overthrow_game_info_tip02"    "Предметы можно отдавать союзникам или продавать на базе."
        "[english]overthrow_game_info_tip02"    "Items can be given to teammates or sold at your base."
        "overthrow_game_info_tip03"    "Возможно, чтобы убить сильного врага, вам придется действовать сообща с другими противниками."
        "[english]overthrow_game_info_tip03"    "You may need to coordinate with an opposing team to take out a strong opponent."
        "overthrow_game_info_tip04"    "Чем меньше убийств совершила ваша команда, тем мощнее предметы, которые вы получаете из сундуков."
        "[english]overthrow_game_info_tip04"    "The fewer kills your team has, the stronger items you will recieve from a delivery."


        "DOTA_GameMode_15"    " "
        "[english]DOTA_GameMode_15"    "Overthrow 2.0"
        "increase_time"    "Вы можете написать -2 в чат чтобы увеличить время и необходимое количество убийств."
        "time_extended"    "Увеличить количество убийств для победы на 2 и игровое время на 30 секунд."
        "time_extended_cancel"    "Не увеличивать количество убийств"
        "DOTA_Tooltip_ability_item_patreon_1"    "Шарик года свиньи"
        "DOTA_Tooltip_ability_item_patreon_1_Description"    "<h1>Использование</h1>Отправляет в полёт милейший прыгучий воздушный шарик."
        "DOTA_Tooltip_ability_item_patreon_1_Lore"    "С таким пузом только летать."
        "DOTA_Tooltip_ability_item_patreon_2"    "Танцующий лев"
        "DOTA_Tooltip_ability_item_patreon_2_Description"    "<h1>Использование</h1>Призывает жизнерадостного льва, который составит компанию вашей команде."
